gameid,team_blue,team_red,league,patch,pick_blue_1,pick_blue_2,pick_blue_3,pick_blue_4,pick_blue_5,pick_red_1,pick_red_2,pick_red_3,pick_red_4,pick_red_5,ban_blue_1,ban_blue_2,ban_blue_3,ban_blue_4,ban_blue_5,ban_red_1,ban_red_2,ban_red_3,ban_red_4,ban_red_5,result
LOLTMNT06_13445,Papara SuperMassive,Galakticos,TSC,14.01,Ornn,Xin Zhao,Azir,Varus,Senna,Jax,Rell,Orianna,Lucian,Milio,Ashe,Akali,Rumble,Aatrox,Vi,Nocturne,Kalista,Poppy,Nautilus,Blitzcrank,0
LOLTMNT06_12427,Papara SuperMassive,Misa Esports,TSC,14.01,Renekton,Poppy,Orianna,Ezreal,Bard,Jax,Xin Zhao,Azir,Ashe,Rakan,Kalista,Nocturne,Rumble,Rell,Nautilus,Caitlyn,Lucian,Varus,Ornn,Karma,1
LOLTMNT06_12473,Misa Esports,Papara SuperMassive,TSC,14.01,Jax,Elise,Lucian,Xayah,Alistar,Malphite,Nocturne,Orianna,Kai'Sa,Rell,Caitlyn,Akali,Ashe,Rakan,Sivir,Rumble,Kalista,Varus,Renata Glasc,Nami,0
LOLTMNT06_12507,Papara SuperMassive,Misa Esports,TSC,14.01,Kennen,Lee Sin,Orianna,Kalista,Rell,Jax,Xin Zhao,Azir,Varus,Nautilus,Rumble,Poppy,Ashe,Braum,Jayce,Caitlyn,Lucian,Akali,Ornn,Renekton,0
LOLTMNT06_12529,Misa Esports,Papara SuperMassive,TSC,14.01,Aatrox,Taliyah,Lucian,Varus,Leona,Jax,Xin Zhao,Orianna,Kalista,Nautilus,Caitlyn,Ashe,Nocturne,Ornn,Kennen,Rumble,Elise,Poppy,Alistar,Rell,1
LOLTMNT06_12557,Papara SuperMassive,Misa Esports,TSC,14.01,Kennen,Lee Sin,Cassiopeia,Varus,Nautilus,Sion,Xin Zhao,Akali,Lucian,Alistar,Rumble,Poppy,Elise,Ashe,Xayah,Caitlyn,Orianna,Kalista,LeBlanc,Karma,0
LOLTMNT06_13630,Team BDS,G2 Esports,LEC,14.01,Renekton,Nocturne,Akali,Kalista,Pyke,Gwen,Vi,Neeko,Aphelios,Renata Glasc,Draven,Bel'Veth,LeBlanc,Jax,Poppy,Caitlyn,Ashe,Rumble,Blitzcrank,Bard,1
LOLTMNT06_12701,Rogue,SK Gaming,LEC,14.01,Aatrox,Lee Sin,Orianna,Varus,Rakan,Gwen,Xin Zhao,Azir,Jhin,Bard,Jax,Nocturne,Kalista,Jayce,Renekton,LeBlanc,Rumble,Caitlyn,Renata Glasc,Rell,1
LOLTMNT06_13667,Karmine Corp,Fnatic,LEC,14.01,Gragas,Jax,Azir,Lucian,Nami,K'Sante,Xin Zhao,Akali,Aphelios,Milio,Varus,Poppy,Ashe,Vi,Aatrox,Rumble,Nocturne,Kalista,Graves,Lee Sin,1
LOLTMNT06_12743,Team Vitality,GiantX,LEC,14.01,Jax,Rell,Azir,Kalista,Renata Glasc,Aatrox,Xin Zhao,Neeko,Draven,Blitzcrank,Ashe,Lucian,Poppy,K'Sante,Renekton,LeBlanc,Nocturne,Rumble,Akali,Orianna,1
